145.2,V16
145.2125,V17
145.225,V18
145.2375,V19
145.25,V20
145.2625,V21
145.275,V22
145.2875,V23
145.3,V24
145.3125,V25
145.325,V26
145.3375,V27
145.35,V28
145.3625,V29
145.375,V30
145.3875,V31
145.4,V32
145.4125,V33
145.425,V34
145.4375,V35
145.45,V36
145.4625,V37
145.475,V38
145.4875,V39
145.5,V40 Calling
145.5125,V41
145.525,V42
145.5375,V43
145.55,V44
145.5625,V45
145.575,V46
145.5875,V47
146.4,V48
146.4125,V49
146.425,V50
146.4375,V51
146.45,V52
146.4625,V53
146.475,V54
146.4875,V55
146.5,V56
146.5125,V57
146.525,V58
146.5375,V59
146.55,V60
146.5625,V61
146.575,V62
146.5875,V63
147.435,V64
147.465,V65
147.495,V66
147.525,V67
147.555,V68
147.585,V69
